1675177224.067167 client started (8017): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1675177224.067251 on Darwin 22.1.0 Darwin Kernel Version 22.1.0: Sun Oct  9 20:14:30 PDT 2022; root:xnu-8792.41.9~2/RELEASE_ARM64_T8103
1675177224.067435 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1675177224.073026 sending message 112 to peer 0x150048000 (9 bytes)
1675177224.073033 sending message 112 to peer 0x150048000 (21 bytes)
1675177224.073041 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073051 sending message 112 to peer 0x150048000 (9 bytes)
1675177224.073059 sending message 112 to peer 0x150048000 (16 bytes)
1675177224.073066 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073072 sending message 112 to peer 0x150048000 (9 bytes)
1675177224.073079 sending message 112 to peer 0x150048000 (9 bytes)
1675177224.073087 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073094 sending message 112 to peer 0x150048000 (8 bytes)
1675177224.073103 sending message 112 to peer 0x150048000 (8 bytes)
1675177224.073111 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073118 sending message 112 to peer 0x150048000 (7 bytes)
1675177224.073126 sending message 112 to peer 0x150048000 (7 bytes)
1675177224.073133 sending message 112 to peer 0x150048000 (9 bytes)
1675177224.073141 sending message 112 to peer 0x150048000 (9 bytes)
1675177224.073149 sending message 112 to peer 0x150048000 (15 bytes)
1675177224.073157 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073165 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073173 sending message 112 to peer 0x150048000 (8 bytes)
1675177224.073180 sending message 112 to peer 0x150048000 (14 bytes)
1675177224.073191 sending message 112 to peer 0x150048000 (11 bytes)
1675177224.073201 sending message 112 to peer 0x150048000 (9 bytes)
1675177224.073209 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.073239 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.073245 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.073250 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.073254 sending message 112 to peer 0x150048000 (11 bytes)
1675177224.073260 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073265 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073270 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073276 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073281 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073287 sending message 112 to peer 0x150048000 (11 bytes)
1675177224.073292 sending message 112 to peer 0x150048000 (11 bytes)
1675177224.073297 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073303 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073308 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073314 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073319 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073324 sending message 112 to peer 0x150048000 (9 bytes)
1675177224.073330 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073334 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073340 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073346 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073352 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073358 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073365 sending message 112 to peer 0x150048000 (8 bytes)
1675177224.073370 sending message 112 to peer 0x150048000 (11 bytes)
1675177224.073376 sending message 112 to peer 0x150048000 (11 bytes)
1675177224.073383 sending message 112 to peer 0x150048000 (11 bytes)
1675177224.073388 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073394 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073400 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073406 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073412 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073419 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073423 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073429 sending message 112 to peer 0x150048000 (8 bytes)
1675177224.073435 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073440 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073447 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073452 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073458 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073463 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073469 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073474 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073480 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073484 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073488 sending message 112 to peer 0x150048000 (8 bytes)
1675177224.073494 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073499 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073504 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073510 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073514 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073521 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073526 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073530 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073535 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073540 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073545 sending message 112 to peer 0x150048000 (8 bytes)
1675177224.073551 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073557 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073571 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073577 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073582 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073588 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073592 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073599 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073605 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073610 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073615 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.073621 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073626 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073632 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073636 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073641 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073647 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073652 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073657 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073663 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073668 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073674 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.073679 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073684 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073689 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073694 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073699 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.073705 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.073712 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.073718 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073724 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073729 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073734 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073741 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073747 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073753 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.073759 sending message 112 to peer 0x150048000 (11 bytes)
1675177224.073766 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073772 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073776 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073782 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073787 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073793 sending message 112 to peer 0x150048000 (11 bytes)
1675177224.073799 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073805 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073811 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073817 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073822 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073828 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073833 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073839 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.073845 sending message 112 to peer 0x150048000 (9 bytes)
1675177224.073851 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073857 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073864 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073870 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073876 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073882 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073887 sending message 112 to peer 0x150048000 (9 bytes)
1675177224.073892 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073898 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073904 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073917 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073923 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073928 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073934 sending message 112 to peer 0x150048000 (11 bytes)
1675177224.073938 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073942 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073948 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073953 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073959 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073964 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073969 sending message 112 to peer 0x150048000 (11 bytes)
1675177224.073974 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073979 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073984 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073989 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.073994 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.074000 sending message 112 to peer 0x150048000 (21 bytes)
1675177224.074006 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.074011 sending message 112 to peer 0x150048000 (9 bytes)
1675177224.074016 sending message 112 to peer 0x150048000 (6 bytes)
1675177224.074022 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.074027 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.074032 sending message 112 to peer 0x150048000 (24 bytes)
1675177224.074038 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.074043 sending message 112 to peer 0x150048000 (9 bytes)
1675177224.074049 sending message 112 to peer 0x150048000 (70 bytes)
1675177224.074054 sending message 112 to peer 0x150048000 (69 bytes)
1675177224.074060 sending message 112 to peer 0x150048000 (12 bytes)
1675177224.074065 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.074070 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.074076 sending message 112 to peer 0x150048000 (24 bytes)
1675177224.074082 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.074087 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.074093 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.074098 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.074104 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.074109 sending message 112 to peer 0x150048000 (15 bytes)
1675177224.074115 sending message 112 to peer 0x150048000 (5 bytes)
1675177224.074122 sending message 104 to peer 0x150048000 (0 bytes)
1675177224.074128 sending message 110 to peer 0x150048000 (0 bytes)
1675177224.074135 sending message 107 to peer 0x150048000 (4 bytes)
1675177224.074141 sending message 105 to peer 0x150048000 (60 bytes)
1675177224.074147 sending message 105 to peer 0x150048000 (66 bytes)
1675177224.074152 sending message 105 to peer 0x150048000 (27 bytes)
1675177224.074157 sending message 105 to peer 0x150048000 (15 bytes)
1675177224.074162 sending message 105 to peer 0x150048000 (30 bytes)
1675177224.074169 sending message 105 to peer 0x150048000 (14 bytes)
1675177224.074175 sending message 105 to peer 0x150048000 (58 bytes)
1675177224.074181 sending message 105 to peer 0x150048000 (15 bytes)
1675177224.074185 sending message 105 to peer 0x150048000 (43 bytes)
1675177224.074190 sending message 105 to peer 0x150048000 (24 bytes)
1675177224.074196 sending message 105 to peer 0x150048000 (15 bytes)
1675177224.074201 sending message 105 to peer 0x150048000 (28 bytes)
1675177224.074207 sending message 105 to peer 0x150048000 (23 bytes)
1675177224.074211 sending message 105 to peer 0x150048000 (330 bytes)
1675177224.074217 sending message 105 to peer 0x150048000 (64 bytes)
1675177224.074223 sending message 105 to peer 0x150048000 (19 bytes)
1675177224.074228 sending message 105 to peer 0x150048000 (20 bytes)
1675177224.074234 sending message 105 to peer 0x150048000 (22 bytes)
1675177224.074249 sending message 105 to peer 0x150048000 (20 bytes)
1675177224.074255 sending message 105 to peer 0x150048000 (25 bytes)
1675177224.074261 sending message 105 to peer 0x150048000 (57 bytes)
1675177224.074268 sending message 105 to peer 0x150048000 (18 bytes)
1675177224.074274 sending message 105 to peer 0x150048000 (19 bytes)
1675177224.074278 sending message 105 to peer 0x150048000 (21 bytes)
1675177224.074283 sending message 105 to peer 0x150048000 (54 bytes)
1675177224.074288 sending message 105 to peer 0x150048000 (32 bytes)
1675177224.074293 sending message 105 to peer 0x150048000 (61 bytes)
1675177224.074297 sending message 105 to peer 0x150048000 (8 bytes)
1675177224.074301 sending message 105 to peer 0x150048000 (61 bytes)
1675177224.074307 sending message 105 to peer 0x150048000 (30 bytes)
1675177224.074311 sending message 105 to peer 0x150048000 (37 bytes)
1675177224.074317 sending message 105 to peer 0x150048000 (34 bytes)
1675177224.074322 sending message 105 to peer 0x150048000 (34 bytes)
1675177224.074328 sending message 105 to peer 0x150048000 (35 bytes)
1675177224.074337 sending message 105 to peer 0x150048000 (12 bytes)
1675177224.074344 sending message 105 to peer 0x150048000 (22 bytes)
1675177224.074350 sending message 105 to peer 0x150048000 (35 bytes)
1675177224.074355 sending message 105 to peer 0x150048000 (11 bytes)
1675177224.074360 sending message 105 to peer 0x150048000 (8 bytes)
1675177224.074366 sending message 105 to peer 0x150048000 (32 bytes)
1675177224.074371 sending message 105 to peer 0x150048000 (10 bytes)
1675177224.074377 sending message 105 to peer 0x150048000 (25 bytes)
1675177224.074382 sending message 106 to peer 0x150048000 (0 bytes)
1675177224.074453 sending message 200 to peer 0x150048000 (4 bytes)
1675177224.074459 client loop enter
1675177224.074477 client_signal: Child exited: 20
1675177224.129208 peer 0x150048000 message 207
1675177224.129217 sending message 208 to peer 0x150048000 (0 bytes)
1675177229.300046 peer 0x150048000 message 203
1675177229.300065 sending message 205 to peer 0x150048000 (0 bytes)
1675177229.300294 peer 0x150048000 message 204
1675177229.300307 client loop exit
